case_id,layer,load,status,metrics,evidence,source
HW-TCP-WIFI,real board TCP 5370,Wi-Fi/TCP connection stress on hardware,BLOCKED,cycles=0; latency=n/a; anomalies=board not discoverable via mDNS _rinalink._tcp and rinaboard.local did not resolve; Wi-Fi not configured,RUNBOOK.md,metrics/device/connection.csv
HW-DRAFT-ADOPT,real iPhone+board BLE,Faces draft sent (已同步) → start firmware text scroll → Faces tab → SIGKILL + relaunch (Device Hub + devicectl),FAIL,cycles=2 repros; latency=n/a; anomalies=Repro 1: 33-lit synced drawing → after scroll + relaunch draft = 7-lit frame 未傳送 (stable across 2nd relaunch). Repro 2: 7-lit draft sent → scroll → Faces showed 面板正在播放：滾動文字 with live board frames (lit 51/48) and undo disabled → after relaunch draft = scroll glyph 'R' 20 lit 未傳送. User drawing and undo history lost; board frame persisted as draft. Code: ControlViewModel.adoptBoardFrameIfUntouched (~495) + draftFrame didSet save (20/115),logs/device/draft_repro.txt; logs/device/serial_realhw2.log offsets 350392/401977/694779,metrics/device/connection.csv
HW-RAPID-M9,real iPhone+board BLE,9 rapid M (auto/manual toggle = firmware B3) taps on control bar from manual (Device Hub; ~90-210 ms apart on board),PASS,offered=9; board_received=9 button commands (9 MODE.change); seq=15-23 contiguous; final_ui=A (auto) after override expiry; final_board=mode=auto playback=auto_saved_face faceIndex cycling; anomalies=none,logs/device/serial_realhw3.log from offset 29449,metrics/device/rapid_taps.csv
HW-RAPID-MIXED-12,real iPhone+board BLE,12 rapid control-bar taps › › M ‹ › M › ‹ M ‹ › M from auto (~120-210 ms apart on board),PASS,offered=12; board_received=12 button commands in exact tap order (B1 B1 B3 B2 B1 B3 B1 B2 B3 B2 B1 B3); seq=24-35 contiguous; final_ui=A (auto) after override expiry; final_board=mode=auto playback=auto_saved_face; face path 2→3→4→(M)→3→4→(A)→5→4→(M)→3→4→(A) then auto cycling 5..11; anomalies=none; note: every mode toggle logs MODE change persist=1 (13 flash-persisted mode writes across bursts A+B); each button also issues SCROLL stop (stopped=0),logs/device/serial_realhw3.log from offset 52030,metrics/device/rapid_taps.csv
HW-RAPID-CROSSMODE-C1,real iPhone+board BLE,15 rapid cross-tab taps: Faces random x3 / M / Text tab + Play / M / Faces + invert / Text + Play / › / Faces + clear / M,PASS,mode/ownership part only; Faces taps INVALID - harness used stale coordinates y=430/493 that hit row gaps; rerun as C2; offered=15 (6 reached board-level controls); board_received=6: B3 set_scroll_loop B3 set_scroll_loop B1 B3 (exact order); seq=36-41 contiguous; final_ui=M after override expiry; Text tab 閒置; Faces draft unchanged (taps missed); final_board=mode=manual playback=idle faceIndex=10 lit=58; anomalies=none; both Play taps preempted by next control tap ~150 ms later (no blob/start after set_scroll_loop; no scroll left running),logs/device/serial_realhw3.log from offset 77293,metrics/device/rapid_taps.csv
HW-RAPID-CROSSMODE-C2,real iPhone+board BLE,rerun with verified coordinates: Faces random x3 / M / Text + Play / M / Faces(0.8 s) + invert / Text + Play / › / Faces(0.8 s) + clear / M,PASS,board/UI final state consistent; ownership correct; offered=18 taps; board_received=3 random live frames (43/33/26 lit) + B3 + set_scroll_loop + B3 + set_scroll_loop + B1 + clear live frame (0 lit) + B3; invert frame superseded by clear (latest-wins; allowed); seq=command seqs 46-62 with gaps for binary set_frame/other requests; final_ui=A after override; Text 閒置; Faces draft 0/370 then banner 面板正在播放：自動表情; final_board=mode=auto playback=auto_saved_face faceIndex=10; heapFree 89088 (-1348 B vs 90436); anomalies=none; both Play taps preempted by the next control tap (no scroll left running),logs/device/serial_realhw3.log bytes 97759-119390,metrics/device/rapid_taps.csv
HW-RAPID-LIVEPREVIEW-DRAFT-LOSS,real iPhone+board BLE,after C2: Faces draft cleared with 即時預覽 on (default) → M to manual,FAIL,offered=1; board_received=clear sent as custom_live_send lit=0 (so draft counts as synced); seq=n/a; final_ui=Faces editor shows board auto face 46 lit 已同步; Undo disabled; cleared draft gone; final_board=mode=manual; anomalies=none; same root cause as HW-DRAFT-ADOPT but reached with no scroll/relaunch: live preview (default on) marks every edit as sent so the first board change (auto face tick or mode toggle) replaces the drawing and resets undo,Device Hub screenshots; logs/device/serial_realhw3.log after 119390,metrics/device/rapid_taps.csv
HW-RAPID-TABS-30,real iPhone+board BLE,30 rapid taps across all 5 tabs incl. lip-sync and performance (no waits),PASS,offered=30; board_received=0 control commands (tab switches only; 47 BLE polls); seq=n/a; final_ui=all tabs render; Faces 46 已同步; lip-sync 未啟動; performance 未播放; final_board=mode=manual playback=idle faceIndex=1; heapFree back to 90436; anomalies=none; app PID 1384 before and after (no crash/restart),logs/device/serial_realhw3.log bytes 177409-194982,metrics/device/rapid_taps.csv
HW-RAPID-COLORS-8,real iPhone+board BLE,8 rapid colour picks via control-bar menu alternating default pink with Aqours members (red/blue/yellow) ending on red; ~0.35 s menu waits,PASS,offered=8; board_received=8 set_color in exact pick order #ec3fc7 #db0839 #ec3fc7 #66c0ff #ec3fc7 #ffd010 #ec3fc7 #db0839; seq=93-100 contiguous; final_ui=red swatch; final_board=color=#db0839; anomalies=none; no stray taps (loop toggle unchanged); picks 0.7-1.2 s apart so command queue never full,logs/device/serial_realhw3.log bytes 210596-220669,metrics/device/rapid_taps.csv
HW-SCROLL-PAUSE-TOGGLE,real iPhone+board BLE,10 pause/play taps at 0.4 s during firmware scroll (325 frames @100 ms),PASS,offered=10; board_commands=10 pause events; board_seq_range=user=1/0 alternating; dropped=0; final_ui=playing 320/325; final_board_idx=ticks continue after last toggle; anomalies=none,logs/device/serial_realhw2.log from offset 279741,metrics/device/scroll_controls.csv
HW-SCROLL-STEP-BURST,real iPhone+board BLE,10 step-forward + 10 step-back taps with no wait (~150-210 ms apart on board),PASS,UI and board agree; wraparound 0->324 correct; offered=20; board_commands=20 scroll_step; board_seq_range=seq 226-245 contiguous; dropped=0; final_ui=paused 325/325; final_board_idx=324/325 (0-based) = UI 325; anomalies=none,logs/device/serial_realhw2.log from offset 279741,metrics/device/scroll_controls.csv
HW-SCROLL-BLE-DISCONNECT,real iPhone+board BLE,UI disconnect then reconnect (6.45 s gap) during firmware scroll,PASS,board scroll uninterrupted at 10.0 fps incl. wrap 320->5; UI resynced to board position without restarting timeline; offered=1 cycle; board_commands=subscribe + 2x get_info after reconnect; no start/stop/seek; board_seq_range=n/a; dropped=0; final_ui=UI 40/325 then 92/325 ~5 s later; final_board_idx=board idx ~40 at +13.8 s and ~92 at +18.8 s; anomalies=none (intentional disconnect reason=531),logs/device/serial_realhw2.log from offset 279741 (board ms 4984xxx),metrics/device/scroll_controls.csv
HW-SCROLL-APP-KILL,real iPhone+board BLE,SIGKILL RinaBoard via devicectl + relaunch after 3 s during firmware scroll,PASS,scroll unaffected; UI resynced within ~2 s sampling resolution); SIDE FINDING: face draft reverted from 33 lit/已同步 to 7 lit/未傳送 after relaunch; offered=1 cycle; board_commands=subscribe + 2x get_info after reconnect (seq restarted at 2); no start/stop/seek/apply_packed; board_seq_range=n/a; dropped=0; final_ui=app reopened on Faces tab; text tab 播放中 267 then 306; later 196 while board log showed 170-190; final_board_idx=board ticks uninterrupted 200->320->5->55 at 10 fps; reconnect 3.96 s after kill; anomalies=none (intentional),logs/device/serial_realhw2.log from offset 350392; logs/device/killrelaunch_scroll.txt,metrics/device/scroll_controls.csv
HW-SOAK-15MIN,real iPhone+board BLE,firmware text scroll 325 frames @100 ms looped + status every 10 s + disturbances (10 pause toggles; 20 steps; 1 UI BLE disconnect; 2 app SIGKILL/relaunch),PASS,duration_s=901; stop_reason=duration (battery floor 30% not reached); scroll_clean_intervals=886 (6 excluded around control events); scroll_fps_p1_p50_p99=10.00/10.00/10.00; cumulative_drift_frames=0.00 over 8860 frames; heapFree_first_min_last=90436/89620/90436; largestBlock=8126452 constant; refreshUs_range=11017-11064 us; refreshMaxUs=11099; refreshFail=0; queued_max=0; battery_start_end=58% (7.60 V) -> 50% (7.51 V); resets=0; anomalies=3 intentional disconnects only (soak_guard prints each 2-3x),metrics/device/soak_status.csv; metrics/device/soak_scroll_drift.csv; logs/device/soak_guard.log; logs/device/serial_realhw2.log bytes 279741-632849,metrics/device/soak.csv
HW-FLOOD-DRAG,real iPhone+board BLE,20 rapid drags on Faces grid with live preview (Device Hub),PASS,converged; 8 board intervals <33 ms noted; offered=unknown (per-cell edits); board_applied=19; board_interval_ms_min=5; board_interval_ms_p50=209; board_interval_ms_max=660; under_33ms=8; final_ui_lit=142; final_board_lit=142; queued_after=0; anomalies=none,logs/device/serial_realhw2.log bytes from logs/device/flood1_range.txt,metrics/device/ui_flood.csv
HW-FLOOD-INVERT,real iPhone+board BLE,40 rapid 反轉 taps with live preview (Device Hub),PASS,all 40 applied in order; alternating 228/142; final 142; offered=40; board_applied=40; board_interval_ms_min=120; board_interval_ms_p50=178; board_interval_ms_max=211; under_33ms=0; final_ui_lit=142; final_board_lit=142; queued_after=0; anomalies=none,logs/device/serial_realhw2.log bytes from logs/device/flood2_range.txt,metrics/device/ui_flood.csv
HW-RESTORE-DRAFT,real iPhone+board BLE,70 undo taps (Device Hub) to restore user's draft after floods,PASS,undo stack exhausted at original face; 已同步 shown; offered=70; board_applied=n/a; final_ui_lit=33; final_board_lit=33; queued_after=0; anomalies=none,Device Hub screenshots in session transcript,metrics/device/ui_flood.csv
F1-CONST,fw-parser,1,PASS,seed=-; metrics=magic=0xA5 hdr=6 maxPayload=4096 inbound=4166 perPass=8,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-SPLIT-EVERY-OFFSET,fw-parser,1,PASS,seed=-; metrics=offsets=107 failures=0,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-SPLIT-BYTE-BY-BYTE,fw-parser,1,PASS,seed=-; metrics=bytes=106,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-GLUE-BUDGET,fw-parser,1,PASS,seed=-; metrics=perPass=8/8/4/0,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-BADMAGIC-1000B-THEN-PING,fw-parser,1,PASS,seed=-; metrics=replyType=134,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-MAGIC-LEN65535-HEADER-THEN-PING,fw-parser,1,PASS,seed=-; metrics=replyType=134,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-LEN-0,fw-parser,1,PASS,seed=-; metrics=reply=255 code=400 nextPing=134,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-LEN-4095,fw-parser,1,PASS,seed=-; metrics=reply=255 code=400 nextPing=134,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-LEN-4096,fw-parser,1,PASS,seed=-; metrics=reply=255 code=400 nextPing=134,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-LEN-4097-RESYNC,fw-parser,1,PASS,seed=-; metrics=nextPingReply=134,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-LEN-4097-EXPLICIT-REJECT,fw-parser,1,FAIL,seed=-; metrics=oversizeReplyType=0 (0=silently skipped; no ERR; no disconnect),logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-LEN-65535-RESYNC,fw-parser,1,PASS,seed=-; metrics=nextPingReply=134,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-LEN-65535-EXPLICIT-REJECT,fw-parser,1,FAIL,seed=-; metrics=oversizeReplyType=0 (0=silently skipped; no ERR; no disconnect),logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-TRUNC-THEN-VALID,fw-parser,1,FAIL,seed=-; metrics=validPingAnswered=0 swallowedIntoTruncated=1 afterFill:seq30=1 seq31=0,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-OVERSIZE-PHANTOM-DISPATCH,fw-parser,1,FAIL,seed=-; metrics=phantomReplyType=144 displayMarkerDec=90(injected=90) (payload bytes of a rejected frame re-parsed as SET_FRAME),logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-UNKNOWN-TYPE,fw-parser,1,PASS,seed=-; metrics=code=400,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-SETFRAME-PAYLOAD-46,fw-parser,1,PASS,seed=-; metrics=replyType=255 expectAccept=0 code=400,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-SETFRAME-PAYLOAD-47,fw-parser,1,PASS,seed=-; metrics=replyType=255 expectAccept=0 code=400,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-SETFRAME-PAYLOAD-48,fw-parser,1,PASS,seed=-; metrics=replyType=255 expectAccept=0 code=400,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-SETFRAME-PAYLOAD-49-VALID,fw-parser,1,PASS,seed=-; metrics=replyType=144 expectAccept=1,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-SETFRAME-PAYLOAD-50-TRAILING,fw-parser,1,PASS,seed=-; metrics=replyType=144 expectAccept=1,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-SETFRAME-FRAME46,fw-parser,1,PASS,seed=-; metrics=replyType=255 expectAccept=0 code=400,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-SETFRAME-FRAME48,fw-parser,1,PASS,seed=-; metrics=replyType=144 expectAccept=1,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-SETFRAME-TAILBITS,fw-parser,1,PASS,seed=-; metrics=replyType=255 expectAccept=0 code=400,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-SETFRAME-REASONLEN-OVERRUN,fw-parser,1,PASS,seed=-; metrics=replyType=255 expectAccept=0 code=400,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-BLE-OVERFLOW-RESYNC,fw-parser,1,PASS,seed=-; metrics=err413=1 nextPing=134,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-FUZZ-POP,fw-parser,1000000,PASS,seed=0x0000000000c0ffee; metrics=iters=1000000 frames=98828 mismatches=0 capOrStallViolations=0 secs=2.168287,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F1-FUZZ-DISPATCH,fw-parser,1000000,PASS,seed=0x0000000000c0aebf; metrics=iters=1000000 passes=700192 replyGroups=353483 maxGroupsPerPass=8 budgetViolations=0 capViolations=0 lockRecursion=0 lockOrder=0 secs=2.892314,logs/firmware/f1_parser.log,metrics/firmware/cases.csv
F2-BLE-NOT-WRITABLE-REPLY,fw-ble-tcp-sender,1,PASS,seed=-; metrics=bytes=0 blockedMs=250 disconnect=1,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-NOT-WRITABLE-EVENT,fw-ble-tcp-sender,1,PASS,seed=-; metrics=bytes=0 blockedMs=0 droppedCleanly=1,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-ZERO-LENGTH-FRAME,fw-ble-tcp-sender,1,PASS,seed=-; metrics=attempts=0,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-CHUNK0,fw-ble-tcp-sender,1,PASS,seed=-; metrics=chunk=0 rejected,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-PARTIAL-THEN-DISCONNECT-REPLY,fw-ble-tcp-sender,1,PASS,seed=-; metrics=bytesSent=40 teardown=1,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-PARTIAL-THEN-DISCONNECT-EVENT,fw-ble-tcp-sender,1,PASS,seed=-; metrics=bytesSent=40 teardown=1,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-DEADLINE-STALL-249MS,fw-ble-tcp-sender,249,PASS,seed=-; metrics=complete=1 blockedMs=253 (tolerates exactly 250 ms of 1 ms stalls),logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-DEADLINE-STALL-250MS,fw-ble-tcp-sender,250,PASS,seed=-; metrics=complete=1 blockedMs=254 (tolerates exactly 250 ms of 1 ms stalls),logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-DEADLINE-STALL-251MS,fw-ble-tcp-sender,251,PASS,seed=-; metrics=complete=0 blockedMs=250 (tolerates exactly 250 ms of 1 ms stalls),logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-DEADLINE-COARSE-PAUSE-249,fw-ble-tcp-sender,249,PASS,seed=-; metrics=complete=1 blockedMs=502 bound=deadline+onePause,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-DEADLINE-COARSE-PAUSE-250,fw-ble-tcp-sender,250,PASS,seed=-; metrics=complete=0 blockedMs=250 bound=deadline+onePause,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-DEADLINE-COARSE-PAUSE-251,fw-ble-tcp-sender,251,PASS,seed=-; metrics=complete=0 blockedMs=251 bound=deadline+onePause,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-WORSTCASE-BLOCK-ATT20,fw-ble-tcp-sender,4102B,PASS,seed=-; metrics=slices=206 complete=0 bytes=2500 blockedMs=375,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-WORSTCASE-BLOCK-ATT182,fw-ble-tcp-sender,4102B,PASS,seed=-; metrics=slices=23 complete=1 bytes=4102 blockedMs=69,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-WORSTCASE-BLOCK-ATT244,fw-ble-tcp-sender,4102B,PASS,seed=-; metrics=slices=17 complete=1 bytes=4102 blockedMs=51,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-WORSTCASE-BLOCK-ATT509,fw-ble-tcp-sender,4102B,PASS,seed=-; metrics=slices=9 complete=1 bytes=4102 blockedMs=27,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-STREAM-INTEGRITY-ATT20,fw-ble-tcp-sender,3000 frames,PASS,seed=0x186515476; metrics=sessions=256 complete=2713 droppedEvents=32 teardowns=255 violations=0 maxBlockMs=452,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-STREAM-INTEGRITY-ATT182,fw-ble-tcp-sender,3000 frames,PASS,seed=0x186515638; metrics=sessions=39 complete=2942 droppedEvents=20 teardowns=38 violations=0 maxBlockMs=270,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-STREAM-INTEGRITY-ATT244,fw-ble-tcp-sender,3000 frames,PASS,seed=0x186515700; metrics=sessions=24 complete=2962 droppedEvents=15 teardowns=23 violations=0 maxBlockMs=267,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-BLE-STREAM-INTEGRITY-ATT509,fw-ble-tcp-sender,3000 frames,PASS,seed=0x186515965; metrics=sessions=15 complete=2979 droppedEvents=7 teardowns=14 violations=0 maxBlockMs=257,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-TCP-SHORT-WRITE-1B,fw-ble-tcp-sender,4102B,PASS,seed=-; metrics=bytes=250 blockedMs=250 teardown,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-TCP-SHORT-WRITE-1000B,fw-ble-tcp-sender,4102B,PASS,seed=-; metrics=blockedMs=4,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-TCP-ZERO-WRITE-REPLY,fw-ble-tcp-sender,4102B,PASS,seed=-; metrics=bytes=0 blockedMs=250,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-TCP-ZERO-WRITE-EVENT,fw-ble-tcp-sender,4102B,PASS,seed=-; metrics=bytes=0 blockedMs=0,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-TCP-EVENT-PARTIAL-THEN-ZERO,fw-ble-tcp-sender,4102B,PASS,seed=-; metrics=event kept writing after first byte; blockedMs=4,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-TCP-BROKEN,fw-ble-tcp-sender,1,PASS,seed=-; metrics=immediate,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-TCP-PARTIAL-THEN-DISCONNECT,fw-ble-tcp-sender,1,PASS,seed=-; metrics=bytes=1000 teardown,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-TCP-DEADLINE-249MS,fw-ble-tcp-sender,249,PASS,seed=-; metrics=complete=1 blockedMs=249,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-TCP-DEADLINE-250MS,fw-ble-tcp-sender,250,PASS,seed=-; metrics=complete=0 blockedMs=250,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-TCP-DEADLINE-251MS,fw-ble-tcp-sender,251,PASS,seed=-; metrics=complete=0 blockedMs=250,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F2-TCP-STREAM-INTEGRITY,fw-ble-tcp-sender,3000 frames,PASS,seed=0x7c9; metrics=teardowns=7 droppedEvents=113 violations=0,logs/firmware/f2_senders.log,metrics/firmware/cases.csv
F3-CONST,fw-frame-queue,1,PASS,seed=-; metrics=PACKED_FRAME_QUEUE_DEPTH=3 (array) PACKED_FRAME_MIN_INTERVAL_MS=33,logs/firmware/f3_queue.log,metrics/firmware/cases.csv
F3-RATE-10HZ-LOOP2MS,fw-frame-queue,10Hz/10s,PASS,seed=0x000000000000f30a; metrics=offered=100 okReplies=100 presented=100 dropped=0 queuedCtr=0 dequeuedCtr=0 maxPending=0 minGapMs=98 maxLatencyMs=0 presentedHz=10.000000 finalMarkerShown=1 stale=0 conserved=1,logs/firmware/f3_queue.log,metrics/firmware/cases.csv
F3-RATE-10HZ-LOOP5MS,fw-frame-queue,10Hz/10s,PASS,seed=0x000000000000f30a; metrics=offered=100 okReplies=100 presented=100 dropped=0 queuedCtr=0 dequeuedCtr=0 maxPending=0 minGapMs=95 maxLatencyMs=0 presentedHz=10.000000 finalMarkerShown=1 stale=0 conserved=1,logs/firmware/f3_queue.log,metrics/firmware/cases.csv
F3-RATE-25HZ-LOOP2MS,fw-frame-queue,25Hz/10s,PASS,seed=0x000000000000f319; metrics=offered=249 okReplies=249 presented=249 dropped=0 queuedCtr=0 dequeuedCtr=0 maxPending=0 minGapMs=38 maxLatencyMs=0 presentedHz=24.900000 finalMarkerShown=1 stale=0 conserved=1,logs/firmware/f3_queue.log,metrics/firmware/cases.csv
F3-RATE-25HZ-LOOP5MS,fw-frame-queue,25Hz/10s,PASS,seed=0x000000000000f319; metrics=offered=249 okReplies=249 presented=249 dropped=0 queuedCtr=0 dequeuedCtr=0 maxPending=0 minGapMs=35 maxLatencyMs=0 presentedHz=24.900000 finalMarkerShown=1 stale=0 conserved=1,logs/firmware/f3_queue.log,metrics/firmware/cases.csv
F3-RATE-50HZ-LOOP2MS,fw-frame-queue,50Hz/10s,PASS,seed=0x000000000000f332; metrics=offered=498 okReplies=498 presented=294 dropped=204 queuedCtr=497 dequeuedCtr=293 maxPending=1 minGapMs=34 maxLatencyMs=22 presentedHz=29.400000 finalMarkerShown=1 stale=0 conserved=1,logs/firmware/f3_queue.log,metrics/firmware/cases.csv
F3-RATE-50HZ-LOOP5MS,fw-frame-queue,50Hz/10s,PASS,seed=0x000000000000f332; metrics=offered=498 okReplies=498 presented=286 dropped=212 queuedCtr=497 dequeuedCtr=285 maxPending=1 minGapMs=35 maxLatencyMs=35 presentedHz=28.600000 finalMarkerShown=1 stale=0 conserved=1,logs/firmware/f3_queue.log,metrics/firmware/cases.csv
F3-RATE-75HZ-LOOP2MS,fw-frame-queue,75Hz/10s,PASS,seed=0x000000000000f34b; metrics=offered=747 okReplies=747 presented=294 dropped=453 queuedCtr=746 dequeuedCtr=293 maxPending=1 minGapMs=34 maxLatencyMs=14 presentedHz=29.400000 finalMarkerShown=1 stale=0 conserved=1,logs/firmware/f3_queue.log,metrics/firmware/cases.csv
F3-RATE-75HZ-LOOP5MS,fw-frame-queue,75Hz/10s,PASS,seed=0x000000000000f34b; metrics=offered=746 okReplies=746 presented=285 dropped=461 queuedCtr=745 dequeuedCtr=284 maxPending=1 minGapMs=35 maxLatencyMs=15 presentedHz=28.500000 finalMarkerShown=1 stale=0 conserved=1,logs/firmware/f3_queue.log,metrics/firmware/cases.csv
F3-RATE-100HZ-LOOP2MS,fw-frame-queue,100Hz/10s,PASS,seed=0x000000000000f364; metrics=offered=995 okReplies=995 presented=294 dropped=701 queuedCtr=994 dequeuedCtr=293 maxPending=1 minGapMs=34 maxLatencyMs=22 presentedHz=29.400000 finalMarkerShown=1 stale=0 conserved=1,logs/firmware/f3_queue.log,metrics/firmware/cases.csv
F3-RATE-100HZ-LOOP5MS,fw-frame-queue,100Hz/10s,PASS,seed=0x000000000000f364; metrics=offered=995 okReplies=995 presented=286 dropped=709 queuedCtr=994 dequeuedCtr=285 maxPending=1 minGapMs=35 maxLatencyMs=35 presentedHz=28.600000 finalMarkerShown=1 stale=0 conserved=1,logs/firmware/f3_queue.log,metrics/firmware/cases.csv
